MaPhieu,DiemPhucVu,DiemViTri,DiemChatLuong,DiemGiaCa,DiemKhongGian,BinhLuan
MP001,9,8,10,7,9,Tuyệt vời
MP002,8,7,9,6,8,Khá tốt
MP003,7,6,8,7,7,Đạt yêu cầu
MP004,6,6,7,5,6,Chấp nhận được
MP005,10,9,10,9,10,Xuất sắc
MP006,9,8,8,7,8,Tốt
MP007,7,7,6,8,7,Khá
MP008,6,5,7,6,6,Trung bình
MP009,8,7,8,7,7,Tốt
MP010,9,9,9,8,9,Xuất sắc
MP011,5,4,6,5,5,Không hài lòng
MP012,10,10,10,10,10,Tuyệt vời
MP013,8,7,7,8,7,Khá tốt
MP014,7,8,8,7,7,Được
MP015,9,8,9,9,8,Tuyệt vời
MP016,6,6,7,6,6,Chấp nhận được
MP017,8,7,8,6,7,Tốt
MP018,9,8,9,8,9,Xuất sắc
MP019,7,7,7,6,7,Đạt yêu cầu
MP020,10,9,9,10,10,Chất lượng
