MaChuongTrinh,LoaiThe,UuDaiChietKhau,GiamGia,TangSP
1,gold,50,100,Salmon Roll
1,member,30,50,California Roll
1,silver,20,40,Tempura Roll
2,gold,50,100,California Roll
2,member,20,30,Spicy Tuna Roll
2,silver,25,50,Seaweed Salad
3,silver,20,40,Spicy Tuna Roll
3,member,40,70,Chirashi Sushi
3,gold,80,80,Spicy Salmon Roll
4,silver,20,40,Spicy Tuna Roll
4,member,30,50,Miso Soup
4,gold,100,90,Salmon Sashimi
5,member,10,20,Sushi Rice
5,gold,30,60,Unagi Roll
5,silver,15,30,Vegetable Tempura Roll
6,member,30,50,Avocado Roll
6,gold,40,70,Dragon Roll
6,silver,20,40,Ebi Tempura Roll
7,gold,100,90,Salmon Sashimi
7,silver,20,40,Tempura Roll
7,member,15,25,Seaweed Salad
8,gold,80,80,Spicy Salmon Roll
8,member,30,50,Soft Shell Crab Roll
8,silver,25,50,Vegetable Tempura Roll
9,silver,15,30,Seaweed Salad
9,member,50,80,Salmon Nigiri
9,gold,100,90,Tuna Tartare
